Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 ANCHTEN1	 ANCHTEN2	 ANCHTEN3	 
0	 72.9984	 45.782	 45.782	 72.9941	 45.7671	 45.7671	 
0.1	 73.0336	 45.743	 45.743	 73.0235	 45.7328	 45.7328	 
0.2	 73.0713	 45.7064	 45.7064	 73.0572	 45.6988	 45.6988	 
0.3	 73.11	 45.6839	 45.6839	 73.1037	 45.6705	 45.6705	 
0.4	 73.1378	 45.6708	 45.6708	 73.1315	 45.6576	 45.6576	 
0.5	 73.1409	 45.6635	 45.6635	 73.1288	 45.6544	 45.6544	 
0.6	 73.1044	 45.6815	 45.6815	 73.0908	 45.674	 45.674	 
0.7	 73.0295	 45.7417	 45.7417	 73.024	 45.728	 45.728	 
0.8	 72.9943	 45.7816	 45.7816	 72.9837	 45.7713	 45.7713	 
0.9	 73.0027	 45.7774	 45.7774	 72.9916	 45.7679	 45.7679	 
1	 73.0365	 45.7408	 45.7408	 73.0235	 45.7329	 45.7329	 
1.1	 73.0617	 45.7139	 45.7139	 73.0545	 45.701	 45.701	 
1.2	 73.1062	 45.6855	 45.6855	 73.0987	 45.673	 45.673	 
1.3	 73.1369	 45.6699	 45.6699	 73.1262	 45.6601	 45.6601	 
1.4	 73.1419	 45.6621	 45.6621	 73.1269	 45.6554	 45.6554	 
1.5	 73.0979	 45.687	 45.687	 73.0921	 45.6732	 45.6732	 
1.6	 73.0358	 45.7361	 45.7361	 73.0321	 45.7208	 45.7208	 
1.7	 72.9921	 45.7815	 45.7815	 72.9886	 45.7657	 45.7657	 
1.8	 72.999	 45.7792	 45.7792	 72.9938	 45.765	 45.765	 
1.9	 73.0325	 45.7441	 45.7441	 73.0245	 45.7322	 45.7322	 
2	 73.0531	 45.7208	 45.7208	 73.0539	 45.7015	 45.7015	 
2.1	 73.1051	 45.6852	 45.6852	 73.0956	 45.6742	 45.6742	 
2.2	 73.1335	 45.671	 45.671	 73.1216	 45.6622	 45.6622	 
2.3	 73.1342	 45.6678	 45.6678	 73.1261	 45.6556	 45.6556	 
2.4	 73.0963	 45.6886	 45.6886	 73.0919	 45.6736	 45.6736	 
2.5	 73.0462	 45.7273	 45.7273	 73.0376	 45.7159	 45.7159	 
2.6	 72.9964	 45.7766	 45.7766	 72.9894	 45.7635	 45.7635	 
2.7	 73.0048	 45.7736	 45.7736	 72.9932	 45.7643	 45.7643	 
2.8	 73.0326	 45.744	 45.744	 73.0221	 45.7341	 45.7341	 
2.9	 73.0566	 45.7181	 45.7181	 73.0503	 45.7045	 45.7045	 
3	 73.1035	 45.6854	 45.6854	 73.0917	 45.6762	 45.6762	 
3.1	 73.1264	 45.6754	 45.6754	 73.1175	 45.6642	 45.6642	 
3.2	 73.1305	 45.6703	 45.6703	 73.1227	 45.6579	 45.6579	 
3.3	 73.1025	 45.6839	 45.6839	 73.0913	 45.6743	 45.6743	 
3.4	 73.0539	 45.7207	 45.7207	 73.0416	 45.7123	 45.7123	 
3.5	 72.9975	 45.7743	 45.7743	 72.9927	 45.7596	 45.7596	 
3.6	 73.0035	 45.7737	 45.7737	 72.9958	 45.7613	 45.7613	 
3.7	 73.0267	 45.7487	 45.7487	 73.0212	 45.7348	 45.7348	 
3.8	 73.0565	 45.7182	 45.7182	 73.0505	 45.7045	 45.7045	 
3.9	 73.096	 45.6904	 45.6904	 73.087	 45.679	 45.679	 
4	 73.1205	 45.6788	 45.6788	 73.1149	 45.665	 45.665	 
4.1	 73.1317	 45.6688	 45.6688	 73.1184	 45.6609	 45.6609	 
4.2	 73.106	 45.6813	 45.6813	 73.0926	 45.6735	 45.6735	 
4.3	 73.0558	 45.7189	 45.7189	 73.0448	 45.7094	 45.7094	 
4.4	 72.9994	 45.7717	 45.7717	 72.9975	 45.7546	 45.7546	 
4.5	 73.0026	 45.7735	 45.7735	 72.997	 45.7595	 45.7595	 
4.6	 73.0276	 45.748	 45.748	 73.0193	 45.7363	 45.7363	 
4.7	 73.0599	 45.7156	 45.7156	 73.0495	 45.7054	 45.7054	 
4.8	 73.0891	 45.6952	 45.6952	 73.0825	 45.6818	 45.6818	 
4.9	 73.1205	 45.6776	 45.6776	 73.1117	 45.6664	 45.6664	 
5	 73.1272	 45.672	 45.672	 73.1172	 45.6614	 45.6614	 
5.1	 73.1041	 45.683	 45.683	 73.0947	 45.672	 45.672	 
5.2	 73.055	 45.7193	 45.7193	 73.049	 45.7058	 45.7058	 
5.3	 73.0047	 45.7663	 45.7663	 73.0023	 45.7497	 45.7497	 
5.4	 73.002	 45.7732	 45.7732	 72.9975	 45.7582	 45.7582	 
5.5	 73.0277	 45.7479	 45.7479	 73.0196	 45.736	 45.736	 
5.6	 73.0567	 45.7183	 45.7183	 73.0488	 45.7061	 45.7061	 
5.7	 73.0825	 45.6998	 45.6998	 73.0783	 45.6846	 45.6846	 
5.8	 73.1205	 45.6766	 45.6766	 73.1087	 45.6677	 45.6677	 
5.9	 73.1233	 45.6746	 45.6746	 73.1135	 45.6639	 45.6639	 
6	 73.1067	 45.6812	 45.6812	 73.095	 45.6719	 45.6719	 
6.1	 73.0616	 45.7139	 45.7139	 73.0498	 45.705	 45.705	 
6.2	 73.0135	 45.7583	 45.7583	 73.0056	 45.7461	 45.7461	 
6.3	 73.0033	 45.7713	 45.7713	 72.9958	 45.7587	 45.7587	 
6.4	 73.0281	 45.7475	 45.7475	 73.0192	 45.7362	 45.7362	 
