Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Node6px 	 Node6py 	 Node6pz 	 Node7px 	 Node7py 	 Node7pz 	 Node8px 	 Node8py 	 Node8pz 	 Node9px 	 Node9py 	 Node9pz 	 Node10px 	 Node10py 	 Node10pz 	 Node11px 	 Node11py 	 Node11pz 	 Node12px 	 Node12py 	 Node12pz 	 Node13px 	 Node13py 	 Node13pz 	 Node14px 	 Node14py 	 Node14pz 	 Node15px 	 Node15py 	 Node15pz 	 Node16px 	 Node16py 	 Node16pz 	 Node17px 	 Node17py 	 Node17pz 	 Node18px 	 Node18py 	 Node18pz 	 Node19px 	 Node19py 	 Node19pz 	 Node20px 	 Node20py 	 Node20pz 	 Node21px 	 Node21py 	 Node21pz 	 Node22px 	 Node22py 	 Node22pz 	 Node23px 	 Node23py 	 Node23pz 	 Node24px 	 Node24py 	 Node24pz 	 Node25px 	 Node25py 	 Node25pz 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 Seg5Te 	 Seg6Te 	 Seg7Te 	 Seg8Te 	 Seg9Te 	 Seg10Te 	 Seg11Te 	 Seg12Te 	 Seg13Te 	 Seg14Te 	 Seg15Te 	 Seg16Te 	 Seg17Te 	 Seg18Te 	 Seg19Te 	 Seg20Te 	 Seg21Te 	 Seg22Te 	 Seg23Te 	 Seg24Te 	 Seg25Te 	 
0	 -0.603561	 0	 -0.991227	 -0.506475	 0.0734471	 -0.991227	 -0.409384	 0.146888	 -0.991227	 -0.312296	 0.220333	 -0.991227	 -0.215196	 0.293761	 -0.991227	 -0.11808	 0.367169	 -0.991227	 -0.0209567	 0.440567	 -0.991227	 0.0761829	 0.513944	 -0.991227	 0.173345	 0.587291	 -0.991227	 0.270528	 0.66061	 -0.991227	 0.367737	 0.733895	 -0.991227	 0.464979	 0.807135	 -0.991227	 0.562253	 0.880333	 -0.991227	 0.659556	 0.953493	 -0.991227	 0.756895	 1.0266	 -0.991227	 0.854264	 1.09968	 -0.991227	 0.95166	 1.17271	 -0.991227	 1.04909	 1.2457	 -0.991227	 1.14653	 1.31868	 -0.991227	 1.24399	 1.39164	 -0.991227	 1.34146	 1.46457	 -0.991227	 1.43895	 1.53748	 -0.991227	 1.53645	 1.61038	 -0.991227	 1.63396	 1.68326	 -0.991226	 1.73148	 1.75613	 -0.991211	 1.829	 1.829	 -0.991	 45.7635	 45.7637	 45.7639	 45.7641	 45.7643	 45.7645	 45.7647	 45.7649	 45.7651	 45.7652	 45.7654	 45.7655	 45.7656	 45.7658	 45.7659	 45.766	 45.7661	 45.7662	 45.7663	 45.7664	 45.7665	 45.7665	 45.7666	 45.7666	 45.7667	 
0.1	 -0.603548	 0	 -0.991227	 -0.506351	 0.0733001	 -0.991227	 -0.40916	 0.146607	 -0.991227	 -0.311958	 0.219901	 -0.991227	 -0.214757	 0.293195	 -0.991227	 -0.117561	 0.366495	 -0.991227	 -0.0203547	 0.439783	 -0.991227	 0.0768496	 0.513072	 -0.991227	 0.174057	 0.586358	 -0.991227	 0.271276	 0.659628	 -0.991227	 0.368503	 0.732888	 -0.991227	 0.465746	 0.806127	 -0.991227	 0.562999	 0.879352	 -0.991227	 0.66027	 0.952553	 -0.991227	 0.757547	 1.02575	 -0.991227	 0.854846	 1.09891	 -0.991227	 0.952176	 1.17203	 -0.991227	 1.04953	 1.24513	 -0.991227	 1.14691	 1.31819	 -0.991227	 1.2443	 1.39122	 -0.991227	 1.34171	 1.46423	 -0.991227	 1.43915	 1.53721	 -0.991227	 1.53661	 1.61017	 -0.991227	 1.63407	 1.68312	 -0.991226	 1.73153	 1.75606	 -0.991211	 1.829	 1.829	 -0.991	 45.7292	 45.729	 45.7289	 45.7287	 45.7285	 45.7284	 45.7282	 45.7281	 45.728	 45.7279	 45.7278	 45.7277	 45.7276	 45.7275	 45.7275	 45.7275	 45.7274	 45.7274	 45.7274	 45.7274	 45.7274	 45.7274	 45.7274	 45.7274	 45.7275	 
0.2	 -0.603534	 0	 -0.991227	 -0.50622	 0.0731439	 -0.991227	 -0.408896	 0.146274	 -0.991227	 -0.311578	 0.219411	 -0.991227	 -0.214262	 0.292551	 -0.991227	 -0.116942	 0.365687	 -0.991227	 -0.019629	 0.438832	 -0.991227	 0.0776879	 0.511971	 -0.991227	 0.175001	 0.585115	 -0.991227	 0.272303	 0.658275	 -0.991227	 0.369604	 0.731435	 -0.991227	 0.466905	 0.804596	 -0.991227	 0.564202	 0.877761	 -0.991227	 0.661489	 0.95094	 -0.991227	 0.758772	 1.02412	 -0.991227	 0.856053	 1.09731	 -0.991227	 0.953335	 1.1705	 -0.991227	 1.05062	 1.24368	 -0.991227	 1.1479	 1.31687	 -0.991227	 1.24518	 1.39005	 -0.991227	 1.34247	 1.46323	 -0.991227	 1.43976	 1.5364	 -0.991227	 1.53707	 1.60956	 -0.991227	 1.63437	 1.68271	 -0.991226	 1.73169	 1.75585	 -0.991211	 1.829	 1.829	 -0.991	 45.6953	 45.6951	 45.695	 45.6948	 45.6946	 45.6944	 45.6941	 45.6939	 45.6937	 45.6934	 45.6932	 45.693	 45.6927	 45.6925	 45.6923	 45.6921	 45.6919	 45.6918	 45.6916	 45.6915	 45.6914	 45.6913	 45.6913	 45.6913	 45.6913	 
0.3	 -0.603517	 0	 -0.991227	 -0.506081	 0.0729801	 -0.991227	 -0.40865	 0.145967	 -0.991227	 -0.311218	 0.218952	 -0.991227	 -0.213795	 0.29195	 -0.991227	 -0.116386	 0.364965	 -0.991227	 -0.0189739	 0.437977	 -0.991227	 0.0784348	 0.510993	 -0.991227	 0.175828	 0.584031	 -0.991227	 0.273208	 0.657085	 -0.991227	 0.370577	 0.730154	 -0.991227	 0.467931	 0.803243	 -0.991227	 0.565281	 0.876339	 -0.991227	 0.662606	 0.949466	 -0.991227	 0.759916	 1.02261	 -0.991227	 0.857211	 1.09578	 -0.991227	 0.954482	 1.16898	 -0.991227	 1.05174	 1.2422	 -0.991227	 1.14896	 1.31546	 -0.991227	 1.24617	 1.38875	 -0.991227	 1.34335	 1.46207	 -0.991227	 1.44051	 1.53542	 -0.991227	 1.53765	 1.60879	 -0.991227	 1.63478	 1.68218	 -0.991226	 1.73189	 1.75558	 -0.991211	 1.829	 1.829	 -0.991	 45.6667	 45.6668	 45.6668	 45.6669	 45.6669	 45.667	 45.6671	 45.6671	 45.6672	 45.6673	 45.6674	 45.6675	 45.6676	 45.6677	 45.6678	 45.6678	 45.6679	 45.668	 45.6681	 45.6682	 45.6683	 45.6683	 45.6684	 45.6684	 45.6685	 
0.4	 -0.603505	 0	 -0.991227	 -0.506005	 0.0728932	 -0.991227	 -0.408502	 0.145783	 -0.991227	 -0.311007	 0.218684	 -0.991227	 -0.213522	 0.291598	 -0.991227	 -0.116042	 0.36452	 -0.991227	 -0.0185738	 0.437456	 -0.991227	 0.0788796	 0.510412	 -0.991227	 0.176323	 0.583381	 -0.991227	 0.273741	 0.656384	 -0.991227	 0.371137	 0.729418	 -0.991227	 0.468517	 0.802473	 -0.991227	 0.565865	 0.875569	 -0.991227	 0.663196	 0.948689	 -0.991227	 0.760493	 1.02185	 -0.991227	 0.857754	 1.09507	 -0.991227	 0.954988	 1.16831	 -0.991227	 1.05219	 1.24161	 -0.991227	 1.14937	 1.31493	 -0.991227	 1.24652	 1.38829	 -0.991227	 1.34364	 1.46169	 -0.991227	 1.44074	 1.53511	 -0.991227	 1.53783	 1.60856	 -0.991227	 1.63489	 1.68203	 -0.991226	 1.73195	 1.75551	 -0.991211	 1.829	 1.829	 -0.991	 45.6539	 45.654	 45.6541	 45.6542	 45.6543	 45.6544	 45.6545	 45.6545	 45.6546	 45.6546	 45.6546	 45.6547	 45.6547	 45.6547	 45.6547	 45.6547	 45.6547	 45.6548	 45.6548	 45.6548	 45.6548	 45.6548	 45.6548	 45.6548	 45.6549	 
0.5	 -0.603505	 0	 -0.991227	 -0.506002	 0.0728905	 -0.991227	 -0.408505	 0.145789	 -0.991227	 -0.311013	 0.218694	 -0.991227	 -0.213526	 0.291604	 -0.991227	 -0.116054	 0.364535	 -0.991227	 -0.018599	 0.43749	 -0.991227	 0.078838	 0.510468	 -0.991227	 0.17625	 0.583479	 -0.991227	 0.273645	 0.656514	 -0.991227	 0.371006	 0.729592	 -0.991227	 0.468337	 0.802712	 -0.991227	 0.565645	 0.875862	 -0.991227	 0.662931	 0.949041	 -0.991227	 0.760188	 1.02226	 -0.991227	 0.857416	 1.09552	 -0.991227	 0.95462	 1.1688	 -0.991227	 1.05181	 1.24211	 -0.991227	 1.14899	 1.31543	 -0.991227	 1.24615	 1.38878	 -0.991227	 1.3433	 1.46214	 -0.991227	 1.44044	 1.53551	 -0.991227	 1.53758	 1.60888	 -0.991227	 1.63472	 1.68226	 -0.991226	 1.73186	 1.75563	 -0.991211	 1.829	 1.829	 -0.991	 45.6504	 45.6501	 45.6498	 45.6495	 45.6492	 45.649	 45.6488	 45.6485	 45.6483	 45.6481	 45.648	 45.6478	 45.6477	 45.6475	 45.6474	 45.6473	 45.6473	 45.6472	 45.6472	 45.6471	 45.6471	 45.6471	 45.647	 45.647	 45.6471	 
0.6	 -0.60352	 0	 -0.991227	 -0.506109	 0.0730144	 -0.991227	 -0.408705	 0.146036	 -0.991227	 -0.311307	 0.219067	 -0.991227	 -0.213921	 0.292113	 -0.991227	 -0.116546	 0.365176	 -0.991227	 -0.0191951	 0.438269	 -0.991227	 0.0781428	 0.511379	 -0.991227	 0.175471	 0.584503	 -0.991227	 0.272788	 0.657642	 -0.991227	 0.370088	 0.730803	 -0.991227	 0.46737	 0.803987	 -0.991227	 0.564649	 0.877177	 -0.991227	 0.661917	 0.95038	 -0.991227	 0.759183	 1.02359	 -0.991227	 0.856441	 1.0968	 -0.991227	 0.953692	 1.17003	 -0.991227	 1.05095	 1.24325	 -0.991227	 1.14821	 1.31646	 -0.991227	 1.24547	 1.38967	 -0.991227	 1.34273	 1.46289	 -0.991227	 1.43999	 1.5361	 -0.991227	 1.53725	 1.60932	 -0.991227	 1.6345	 1.68255	 -0.991226	 1.73175	 1.75577	 -0.991211	 1.829	 1.829	 -0.991	 45.6696	 45.6693	 45.669	 45.6687	 45.6684	 45.6681	 45.6678	 45.6675	 45.6673	 45.667	 45.6668	 45.6666	 45.6664	 45.6662	 45.6661	 45.6659	 45.6658	 45.6657	 45.6656	 45.6655	 45.6655	 45.6654	 45.6654	 45.6653	 45.6654	 
0.7	 -0.603548	 0	 -0.991227	 -0.50634	 0.0732842	 -0.991227	 -0.409125	 0.14656	 -0.991227	 -0.311901	 0.219823	 -0.991227	 -0.214674	 0.293083	 -0.991227	 -0.117443	 0.366338	 -0.991227	 -0.0202068	 0.439585	 -0.991227	 0.077037	 0.512822	 -0.991227	 0.174295	 0.58604	 -0.991227	 0.271559	 0.659251	 -0.991227	 0.368835	 0.732445	 -0.991227	 0.466119	 0.805629	 -0.991227	 0.563412	 0.878801	 -0.991227	 0.660728	 0.951943	 -0.991227	 0.758056	 1.02507	 -0.991227	 0.85539	 1.09819	 -0.991227	 0.952733	 1.17129	 -0.991227	 1.05008	 1.2444	 -0.991227	 1.14742	 1.31749	 -0.991227	 1.24478	 1.39058	 -0.991227	 1.34214	 1.46367	 -0.991227	 1.4395	 1.53675	 -0.991227	 1.53687	 1.60982	 -0.991227	 1.63425	 1.68288	 -0.991226	 1.73162	 1.75594	 -0.991211	 1.829	 1.829	 -0.991	 45.723	 45.7232	 45.7233	 45.7235	 45.7236	 45.7237	 45.7238	 45.7239	 45.724	 45.7241	 45.7242	 45.7243	 45.7244	 45.7244	 45.7245	 45.7246	 45.7246	 45.7247	 45.7247	 45.7248	 45.7248	 45.7248	 45.7249	 45.7249	 45.725	 
0.8	 -0.603564	 0	 -0.991227	 -0.506501	 0.0734782	 -0.991227	 -0.409425	 0.146939	 -0.991227	 -0.312336	 0.220383	 -0.991227	 -0.215232	 0.293806	 -0.991227	 -0.118116	 0.367215	 -0.991227	 -0.0209682	 0.44058	 -0.991227	 0.0762113	 0.513904	 -0.991227	 0.173422	 0.587186	 -0.991227	 0.270668	 0.660421	 -0.991227	 0.367935	 0.73363	 -0.991227	 0.465225	 0.806806	 -0.991227	 0.562539	 0.879952	 -0.991227	 0.659868	 0.953076	 -0.991227	 0.757221	 1.02617	 -0.991227	 0.854596	 1.09923	 -0.991227	 0.95198	 1.17229	 -0.991227	 1.04938	 1.24531	 -0.991227	 1.14681	 1.31831	 -0.991227	 1.24424	 1.3913	 -0.991227	 1.34169	 1.46427	 -0.991227	 1.43914	 1.53722	 -0.991227	 1.5366	 1.61017	 -0.991227	 1.63407	 1.68311	 -0.991226	 1.73154	 1.75606	 -0.991211	 1.829	 1.829	 -0.991	 45.7671	 45.7671	 45.767	 45.767	 45.7669	 45.7668	 45.7667	 45.7666	 45.7665	 45.7664	 45.7663	 45.7662	 45.7661	 45.766	 45.7659	 45.7658	 45.7657	 45.7656	 45.7655	 45.7655	 45.7654	 45.7654	 45.7653	 45.7653	 45.7653	 
0.9	 -0.603561	 0	 -0.991227	 -0.50648	 0.0734549	 -0.991227	 -0.409387	 0.146893	 -0.991227	 -0.312286	 0.22032	 -0.991227	 -0.215175	 0.293735	 -0.991227	 -0.118056	 0.367138	 -0.991227	 -0.0209313	 0.440535	 -0.991227	 0.0762184	 0.513898	 -0.991227	 0.173389	 0.587233	 -0.991227	 0.270577	 0.660545	 -0.991227	 0.367793	 0.733822	 -0.991227	 0.465037	 0.807059	 -0.991227	 0.562312	 0.880256	 -0.991227	 0.659625	 0.953402	 -0.991227	 0.756968	 1.02651	 -0.991227	 0.854334	 1.09958	 -0.991227	 0.951732	 1.17262	 -0.991227	 1.04915	 1.24562	 -0.991227	 1.14658	 1.31861	 -0.991227	 1.24404	 1.39156	 -0.991227	 1.34151	 1.4645	 -0.991227	 1.43899	 1.53743	 -0.991227	 1.53648	 1.61034	 -0.991227	 1.63398	 1.68324	 -0.991226	 1.73149	 1.75612	 -0.991211	 1.829	 1.829	 -0.991	 45.7642	 45.7642	 45.7641	 45.764	 45.7639	 45.7637	 45.7636	 45.7635	 45.7633	 45.7632	 45.763	 45.7629	 45.7627	 45.7626	 45.7625	 45.7624	 45.7623	 45.7622	 45.7622	 45.7621	 45.762	 45.762	 45.762	 45.7619	 45.762	 
